filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words, text_level
raznotsvetnye_zveryata.txt, 3.722, 0, 2.171, 2.426, 4.149, 3881, 581, 2845, 518, 180, 13, 505, 2.878, 2.346, 2.51, 2
skrebitskiy_kot_ivanych.txt, 1.789, 2.661, 4.11, 4.394, 1.882, 7480, 1256, 5746, 1198, 116, 28, 1170, 10.328, 2.043, 2.337, 2
synoviya.txt, 3.05, 1.486, 3.057, 3.518, 3.013, 917, 145, 693, 133, 26, 4, 129, 5.115, 2.248, 3.008, 2
trusiha.txt, 1.989, 0.634, 1.972, 2.174, 2.483, 1685, 257, 1280, 249, 52, 3, 246, 4.788, 2.181, 1.205, 2
ushinskiy_dva_pluga.txt, 3.187, 4.649, 4.641, 0.05, 4.502, 751, 127, 585, 119, 7, 0, 119, 17.0, 1.992, 0.0, 2
zabotlivaya_mamasha.txt, 2.364, 3.331, 3.083, 2.903, 2.855, 2751, 450, 2151, 429, 48, 5, 424, 8.938, 2.114, 1.166, 2
zoschenko_yolka.txt, 2.795, 2.721, 3.806, 4.095, 2.058, 5162, 854, 3963, 815, 86, 18, 797, 9.477, 2.133, 2.209, 2
11549_II.txt, 5.908, 3.992, 6.421, 6.247, 5.41, 4533, 582, 3507, 629, 114, 56, 573, 5.518, 2.44, 8.903, 3
11549_III.txt, 4.089, 4.044, 4.775, 5.43, 4.13, 16100, 2189, 12474, 2361, 316, 117, 2244, 7.472, 2.269, 4.956, 3
11549_IV.txt, 6.732, 7.171, 6.25, 7.165, 6.947, 18519, 2422, 14780, 2667, 227, 147, 2520, 11.749, 2.359, 5.512, 3
bulychev_puteshestvie_alisy_1.txt, 3.007, 2.286, 4.055, 4.554, 3.205, 9496, 1528, 7092, 1361, 235, 61, 1300, 5.791, 2.23, 4.482, 3
bulychev_puteshestvie_alisy_2.txt, 4.738, 5.084, 4.559, 5.241, 5.044, 15272, 2388, 11684, 2165, 264, 91, 2074, 8.201, 2.298, 4.203, 3
chehov_beglets.txt, 3.447, 4.226, 3.859, 4.223, 3.804, 13042, 2088, 10089, 1959, 211, 47, 1912, 9.284, 2.183, 2.399, 3
chehov_belolobyi.txt, 3.708, 4.01, 4.848, 5.372, 3.36, 9968, 1633, 7742, 1551, 138, 50, 1501, 11.239, 2.157, 3.224, 3
dostoevskiy_anekdot_iz_detskoy_zhizny.txt, 4.809, 4.817, 6.475, 7.253, 4.387, 10592, 1751, 8158, 1627, 113, 75, 1552, 14.398, 2.164, 4.61, 3
