Лемма ;Частота (ipm) ;Ранг ;
отрезать;27.мар;3911;
заботиться;27.фев;3915;
почитать;27.фев;3920;
вводить;27.янв;3924;
пожелать;27.янв;3929;
посещать;27.янв;3930;
потянуть;27.янв;3931;
походить;27.янв;3932;
прижать;27.янв;3933;
прислушиваться;27.янв;3934;
торговать;27.янв;3936;
гарантировать;27.0;3938;
избавиться;27.0;3939;
рождаться;27.0;3945;
возрасти;26.сен;3951;
ограничить;26.сен;3953;
предлагаться;26.сен;3957;
предъявить;26.сен;3958;
прятать;26.сен;3959;
крутить;26.авг;3964;
разобрать;26.авг;3968;
ранить;26.авг;3969;
дружить;26.июл;3973;
расстаться;26.июл;3979;
уставиться;26.июл;3980;
закурить;26.июн;3983;
обсуждаться;26.июн;3987;
поглядывать;26.июн;3988;
дожидаться;26.май;3994;
кивать;26.май;3995;
сбросить;26.май;4001;
уснуть;26.май;4002;
сниться;26.апр;4010;
бормотать;26.мар;4014;
переехать;26.мар;4017;
послышаться;26.мар;4018;
противоречить;26.мар;4021;
расширить;26.мар;4023;
уточнить;26.мар;4027;
мучить;26.фев;4035;
сниматься;26.фев;4039;
уверять;26.фев;4041;
бросаться;26.янв;4045;
отложить;26.янв;4050;
отмечаться;26.янв;4051;
разбудить;26.янв;4053;
распространяться;26.янв;4054;
удержаться;26.0;4069;
пострадать;25.сен;4074;
