Лемма ;Частота (ipm) ;Ранг ;
территориальный;27.мар;3913;
неизбежный;27.фев;3918;
авторский;27.янв;3923;
совершенный;27.янв;3935;
напряженный;27.0;3941;
краткий;26.авг;3963;
праздничный;26.авг;3967;
подходящий;26.июл;3977;
неправильный;26.июн;3985;
неведомый;26.апр;4008;
бесплатный;26.мар;4013;
мудрый;26.мар;4016;
свойственный;26.мар;4024;
силовой;26.мар;4025;
вкусный;26.фев;4031;
механический;26.фев;4034;
ограниченный;26.фев;4036;
жуткий;26.янв;4048;
петербургский;26.0;4063;
смелый;26.0;4066;
тяжкий;26.0;4068;
жаркий;25.сен;4070;
медленный;25.сен;4072;
годовой;25.июл;4092;
универсальный;25.июл;4103;
христов;25.июл;4105;
личной;25.июн;4110;
преподобный;25.июн;4114;
формальный;25.июн;4117;
коричневый;25.май;4121;
кровавый;25.май;4122;
либеральный;25.май;4123;
наивный;25.май;4124;
жирный;25.апр;4133;
снежный;25.апр;4142;
эмоциональный;25.апр;4146;
искренний;25.мар;4152;
германский;25.фев;4163;
медный;25.янв;4173;
пермский;25.янв;4177;
телевизионный;25.янв;4183;
римский;25.0;4191;
секретный;25.0;4192;
благоприятный;24.сен;4195;
первоначальный;24.сен;4200;
внимательный;24.авг;4205;
кремлевский;24.авг;4208;
присущий;24.авг;4213;
стальной;24.авг;4216;
рядовой;24.июл;4219;
предвыборный;24.июн;4232;
скрытый;24.июн;4236;
фантастический;24.июн;4239;
безумный;24.май;4240;
благодарный;24.май;4241;
драгоценный;24.апр;4253;
осторожный;24.мар;4272;
гордый;24.фев;4281;
обширный;24.фев;4285;
ласковый;24.янв;4292;
одетый;24.янв;4293;
студенческий;24.янв;4298;
автоматический;24.0;4299;
безопасный;24.0;4300;
вольный;24.0;4302;
мобильный;24.0;4304;
невысокий;24.0;4305;
решительный;24.0;4309;
влажный;23.сен;4313;
гладкий;23.сен;4315;
дурацкий;23.сен;4316;
прочный;23.сен;4320;
функциональный;23.июн;4368;
решающий;23.май;4376;
заработный;23.апр;4382;
педагогический;23.апр;4388;
хитрый;23.апр;4393;
армейский;23.мар;4395;
геологический;23.мар;4397;
ложный;23.мар;4401;
преступный;23.мар;4404;
смертный;23.мар;4406;
условный;23.мар;4409;
жилищный;23.фев;4413;
просторный;23.фев;4421;
элементарный;23.фев;4430;
внезапный;23.янв;4433;
привлекательный;23.янв;4441;
тупой;23.янв;4444;
жидкий;23.0;4450;
покойный;23.0;4454;
усталый;23.0;4460;
коренной;22.сен;4464;
мясной;22.сен;4465;
актерский;22.авг;4478;
скучный;22.авг;4490;
исключительный;22.июл;4498;
минувший;22.июл;4500;
ракетный;22.июл;4509;
ученый;22.июл;4513;
комсомольский;22.июн;4522;
ненужный;22.июн;4528;
полевой;22.июн;4532;
ленинский;22.май;4541;
почтовый;22.май;4544;
правоохранительный;22.май;4545;
слепой;22.май;4547;
управляющий;22.май;4549;
встречный;22.апр;4551;
забавный;22.апр;4555;
логический;22.апр;4561;
непрерывный;22.апр;4563;
отчаянный;22.апр;4567;
чуждый;22.апр;4574;
корпоративный;22.мар;4582;
собачий;22.мар;4587;
чудовищный;22.мар;4592;
автономный;22.янв;4604;
интеллигентный;22.янв;4607;
целевой;22.янв;4619;
драматический;22.0;4623;
любовный;22.0;4626;
мучительный;22.0;4628;
непростой;22.0;4630;
специализированный;22.0;4634;
товарный;22.0;4636;
бумажный;21.сен;4638;
грузинский;21.сен;4640;
кадровый;21.сен;4643;
откровенный;21.сен;4647;
стройный;21.сен;4651;
татарский;21.сен;4652;
действительный;21.авг;4659;
значимый;21.авг;4662;
израильский;21.авг;4663;
прошедший;21.авг;4666;
крохотный;21.июл;4678;
олимпийский;21.июл;4680;
организационный;21.июл;4681;
фактический;21.июл;4687;
мамин;21.июн;4691;
необыкновенный;21.июн;4692;
склонный;21.июн;4697;
установленный;21.июн;4699;
дневной;21.мар;4726;
рациональный;21.мар;4731;
светский;21.мар;4734;
уютный;21.мар;4736;
изящный;21.фев;4739;
незначительный;21.фев;4743;
архитектурный;21.янв;4753;
валютный;21.янв;4754;
всевозможный;21.янв;4756;
испанский;21.янв;4760;
тревожный;21.янв;4773;
магнитный;21.0;4779;
милицейский;21.0;4780;
фундаментальный;20.сен;4793;
чрезвычайный;20.сен;4794;
парижский;20.авг;4805;
романтический;20.авг;4807;
королевский;20.июл;4817;
молодежный;20.июл;4818;
наружный;20.июл;4819;
новенький;20.июл;4820;
этнический;20.июл;4831;
вирусный;20.июн;4832;
подробный;20.июн;4840;
социально-экономический;20.июн;4843;
арабский;20.май;4845;
защитный;20.май;4849;
поверхностный;20.май;4855;
средневековый;20.май;4861;
звездный;20.апр;4870;
равнодушный;20.апр;4878;
передовой;20.мар;4894;
сердечный;20.мар;4898;
принятый;20.фев;4918;
солдатский;20.фев;4920;
здешний;20.янв;4928;
многолетний;20.янв;4931;
срочный;19.сен;4975;
альтернативный;19.авг;4977;
животный;19.авг;4980;
крестьянский;19.авг;4985;
молчаливый;19.авг;4986;
новейший;19.авг;4987;
заинтересованный;19.июл;4999;
криминальный;19.июл;5000;
уличный;19.июл;5008;
шумный;19.июл;5009;
академический;19.июн;5010;
болезненный;19.июн;5012;
грандиозный;19.июн;5014;
гуманитарный;19.июн;5015;
лошадиный;19.июн;5019;
образовательный;19.июн;5021;
худший;19.июн;5031;
дружеский;19.май;5035;
недостаточный;19.май;5041;
стабильный;19.май;5045;
неизменный;19.апр;5057;
образованный;19.апр;5058;
октябрьский;19.апр;5059;
регулярный;19.апр;5070;
относительный;19.мар;5081;
парламентский;19.мар;5082;
разноцветный;19.мар;5084;
всероссийский;19.фев;5089;
генетический;19.фев;5090;
интенсивный;19.фев;5094;
поразительный;19.фев;5098;
печатный;19.янв;5112;
позитивный;19.янв;5114;
славянский;19.янв;5117;
эстетический;19.янв;5119;
величайший;19.0;5120;
неясный;19.0;5126;
убежденный;19.0;5133;
бешеный;18.сен;5137;
женатый;18.сен;5141;
роковой;18.сен;5151;
газетный;18.авг;5161;
